"arxiv_category","arxiv_abstract"
"stat.TH","  The method of covariate adjustment is often used for estimation of population
average treatment effects in observational studies. Graphical rules for
determining all valid covariate adjustment sets from an assumed causal
graphical model are well known. Restricting attention to causal linear models,
a recent article derived two novel graphical criteria: one to compare the
asymptotic variance of linear regression treatment effect estimators that
control for certain distinct adjustment sets and another to identify the
optimal adjustment set that yields the least squares treatment effect estimator
with the smallest asymptotic variance among consistent adjusted least squares
estimators. In this paper we show that the same graphical criteria can be used
in non-parametric causal graphical models when treatment effects are estimated
by contrasts involving non-parametrically adjusted estimators of the
interventional means. We also provide a graphical criterion for determining the
optimal adjustment set among the minimal adjustment sets, which is valid for
both linear and non-parametric estimators. We provide a new graphical criterion
for comparing time dependent adjustment sets, that is, sets comprised by
covariates that adjust for future treatments and that are themselves affected
by earlier treatments. We show by example that uniformly optimal time dependent
adjustment sets do not always exist. In addition, for point interventions, we
provide a sound and complete graphical criterion for determining when a
non-parametric optimally adjusted estimator of an interventional mean, or of a
contrast of interventional means, is as efficient as an efficient estimator of
the same parameter that exploits the information in the conditional
independencies encoded in the non-parametric causal graphical model.
"
"stat.TH","  We develop algebraic tools for statistical inference from samples of rotation
matrices. This rests on the theory of D-modules in algebraic analysis.
Noncommutative Gr\""obner bases are used to design numerical algorithms for
maximum likelihood estimation, building on the holonomic gradient method of
Sei, Shibata, Takemura, Ohara, and Takayama. We study the Fisher model for
sampling from rotation matrices, and we apply our algorithms for data from the
applied sciences. On the theoretical side, we generalize the underlying
equivariant D-modules from SO(3) to arbitrary Lie groups. For compact groups,
our D-ideals encode the normalizing constant of the Fisher model.
"
"stat.TH","  Anisotropic functional deconvolution model is investigated in the bivariate
case under long-memory errors when the design points $t_i$, $i=1, 2, \cdots,
N$, and $x_l$, $l=1, 2, \cdots, M$, are irregular and follow known densities
$h_1$, $h_2$, respectively. In particular, we focus on the case when the
densities $h_1$ and $h_2$ have singularities, but $1/h_1$ and $1/h_2$ are still
integrable on $[0, 1]$. Under both Gaussian and sub-Gaussian errors, we
construct an adaptive wavelet estimator that attains asymptotically
near-optimal convergence rates that deteriorate as long-memory strengthens. The
convergence rates are completely new and depend on a balance between the
smoothness and the spatial homogeneity of the unknown function $f$, the degree
of ill-posed-ness of the convolution operator, the long-memory parameter in
addition to the degrees of spatial irregularity associated with $h_1$ and
$h_2$. Nevertheless, the spatial irregularity affects convergence rates only
when $f$ is spatially inhomogeneous in either direction.
"
"stat.TH","  The Jensen-Shannon divergence is a renown bounded symmetrization of the
Kullback-Leibler divergence which does not require probability densities to
have matching supports. In this paper, we introduce a vector-skew
generalization of the scalar $\alpha$-Jensen-Bregman divergences and derive
thereof the vector-skew $\alpha$-Jensen-Shannon divergences. We study the
properties of these novel divergences and show how to build parametric families
of symmetric Jensen-Shannon-type divergences. Finally, we report an iterative
algorithm to numerically compute the Jensen-Shannon-type centroids for a set of
probability densities belonging to a mixture family: This includes the case of
the Jensen-Shannon centroid of a set of categorical distributions or normalized
histograms.
"
"stat.TH","  We give a complete characterization of the sampling complexity of best
Markovian arm identification in one-parameter Markovian bandit models. We
derive instance specific nonasymptotic and asymptotic lower bounds which
generalize those of the IID setting. We analyze the Track-and-Stop strategy,
initially proposed for the IID setting, and we prove that asymptotically it is
at most a factor of four apart from the lower bound. Our one-parameter
Markovian bandit model is based on the notion of an exponential family of
stochastic matrices for which we establish many useful properties. For the
analysis of the Track-and-Stop strategy we derive a novel concentration
inequality for Markov chains that may be of interest in its own right.
"
"stat.TH","  Conditional mean embeddings (CMEs) have proven themselves to be a powerful
tool in many machine learning applications. They allow the efficient
conditioning of probability distributions within the corresponding reproducing
kernel Hilbert spaces (RKHSs) by providing a linear-algebraic relation for the
kernel mean embeddings of the respective joint and conditional probability
distributions. Both centred and uncentred covariance operators have been used
to define CMEs in the existing literature. In this paper, we develop a
mathematically rigorous theory for both variants, discuss the merits and
problems of each, and significantly weaken the conditions for applicability of
CMEs. In the course of this, we demonstrate a beautiful connection to Gaussian
conditioning in Hilbert spaces.
"
"stat.TH","  Bayesian inference problems require sampling or approximating
high-dimensional probability distributions. The focus of this paper is on the
recently introduced Stein variational gradient descent methodology, a class of
algorithms that rely on iterated steepest descent steps with respect to a
reproducing kernel Hilbert space norm. This construction leads to interacting
particle systems, the mean-field limit of which is a gradient flow on the space
of probability distributions equipped with a certain geometrical structure. We
leverage this viewpoint to shed some light on the convergence properties of the
algorithm, in particular addressing the problem of choosing a suitable positive
definite kernel function. Our analysis leads us to considering certain
nondifferentiable kernels with adjusted tails. We demonstrate significant
performs gains of these in various numerical experiments.
"
"stat.TH","  Measuring conditional independence is one of the important tasks in
statistical inference and is fundamental in causal discovery, feature
selection, dimensionality reduction, Bayesian network learning, and others. In
this work, we explore the connection between conditional independence measures
induced by distances on a metric space and reproducing kernels associated with
a reproducing kernel Hilbert space (RKHS). For certain distance and kernel
pairs, we show the distance-based conditional independence measures to be
equivalent to that of kernel-based measures. On the other hand, we also show
that some popular---in machine learning---kernel conditional independence
measures based on the Hilbert-Schmidt norm of a certain cross-conditional
covariance operator, do not have a simple distance representation, except in
some limiting cases. This paper, therefore, shows the distance and kernel
measures of conditional independence to be not quite equivalent unlike in the
case of joint independence as shown by Sejdinovic et al. (2013).
"
"stat.TH","  Chi-squared tests for lack of fit are traditionally employed to find evidence
against a hypothesized model, with the model accepted if the Karl Pearson
statistic comparing observed and expected numbers of observations falling
within cells is not significantly large. However, if one really wants evidence
for goodness of fit, it is better to adopt an equivalence testing approach in
which small values of the chi-squared statistic are evidence for the desired
model. This method requires one to define what is meant by equivalence to the
desired model, and guidelines are proposed. Then a simple extension of the
classical normalizing transformation for the non-central chi-squared
distribution places these values on a simple to interpret calibration scale for
evidence. It is shown that the evidence can distinguish between normal and
nearby models, as well between the Poisson and over-dispersed models.
Applications to evaluation of random number generators and to uniformity of the
digits of pi are included. Sample sizes required to obtain a desired expected
evidence for goodness of fit are also provided.
"
"stat.TH","  Sure screening technique has been considered as a powerful tool to handle the
ultrahigh dimensional variable selection problems, where the dimensionality p
and the sample size n can satisfy the NP dimensionality log p=O(n^a) for some
a>0 (Fan & Lv 2008). The current paper aims to simultaneously tackle the
""universality"" and ""effectiveness"" of sure screening procedures. For the
""universality"", we develop a general and unified framework for nonparametric
screening methods from a loss function perspective. Consider a loss function to
measure the divergence of the response variable and the underlying
nonparametric function of covariates. We newly propose a class of loss
functions called conditional strictly convex loss, which contains, but is not
limited to, negative log likelihood loss from one-parameter exponential
families, exponential loss for binary classification and quantile regression
loss. The sure screening property and model selection size control will be
established within this class of loss functions. For the ``effectiveness"", we
focus on a goodness of fit nonparametric screening (Goffins) method under
conditional strictly convex loss. Interestingly, we can achieve a better
convergence probability of containing the true model compared with related
literature. The superior performance of our proposed method has been further
demonstrated by extensive simulation studies and some real scientific data
example.
"
"stat.TH","  This paper proposes a new estimator for selecting weights to average over
least squares estimates obtained from a set of models. Our proposed estimator
builds on the Mallows model average (MMA) estimator of Hansen (2007), but,
unlike MMA, simultaneously controls for location bias and regression error
through a common constant. We show that our proposed estimator-- the mean-shift
Mallows model average (MSA) estimator-- is asymptotically optimal to the
original MMA estimator in terms of mean squared error. A simulation study is
presented, where we show that our proposed estimator uniformly outperforms the
MMA estimator.
"
"stat.TH","  Mediation analysis is concerned with the decomposition of the total effect of
an exposure on an outcome into the indirect effect through a given mediator,
and the remaining direct effect. This is ideally done using longitudinal
measurements of the mediator, as these capture the mediator process more
finely. However, longitudinal measurements pose challenges for mediation
analysis. This is because the mediators and outcomes measured at a given
time-point can act as confounders for the association between mediators and
outcomes at a later time-point; these confounders are themselves affected by
the prior exposure and outcome. Such post-treatment confounding cannot be dealt
with using standard methods (e.g. generalized estimating equations). Analysis
is further complicated by the need for so-called cross-world counterfactuals to
decompose the total effect. This article addresses these challenges. In
particular, we introduce so-called natural effect models, which parameterize
the direct and indirect effect of a baseline exposure w.r.t. a longitudinal
mediator and outcome. These can be viewed as a generalization of marginal
structural models to enable effect decomposition. We introduce inverse
probability weighting techniques for fitting these models, adjusting for
(measured) time-varying confounding of the mediator-outcome association.
Application of this methodology uses data from the Millennium Cohort Study, UK.
"
"stat.TH","  This note presents a simple proof of the characteristic function of Student's
$t$-distribution. The method of proof, which involves finding a differential
equation satisfied by the characteristic function, is applicable to many other
distributions.
"
"stat.TH","  We address the new problem of estimating a piece-wise constant signal with
the purpose of detecting its change points and the levels of clusters. Our
approach is to model it as a nonparametric penalized least square model
selection on a family of models indexed over the collection of partitions of
the design points and propose a computationally efficient algorithm to
approximately solve it. Statistically, minimizing such a penalized criterion
yields an approximation to the maximum a posteriori probability (MAP)
estimator. The criterion is then analyzed and an oracle inequality is derived
using a Gaussian concentration inequality. The oracle inequality is used to
derive on one hand conditions for consistency and on the other hand an adaptive
upper bound on the expected square risk of the estimator, which statistically
motivates our approximation. Finally, we apply our algorithm to simulated data
to experimentally validate the statistical guarantees and illustrate its
behavior.
"
"stat.TH","  In this note, we derive the closed form formulae for moments of Student's
t-distribution in the one dimensional case as well as in higher dimensions
through a unified probability framework. Interestingly, the closed form
expressions for the moments of Student's t-distribution can be written in terms
of the familiar Gamma function, Kummer's confluent hypergeometric function, and
the hypergeometric function.
"
"stat.TH","  The multivariate Hilbert-Schmidt-Independence-Criterion (dHSIC) and distance
multivariance allow to measure and test independence of an arbitrary number of
random vectors with arbitrary dimensions. Here we define versions which only
depend on an underlying copula. The approach is based on the distributional
transform, yielding dependence measures which always feature a natural
invariance with respect to scalings and translations. Moreover, it requires no
distributional assumptions, i.e., the distributions can be of pure type or any
mixture of discrete and continuous distributions and (in our setting) no
existence of moments is required.
  Empirical estimators and tests, which are consistent against all
alternatives, are provided based on a Monte Carlo distributional transform. In
particular, it is shown that the new estimators inherit the exact limiting
distributional properties of the original estimators. Examples illustrate that
tests based on the new measures can be more powerful than tests based on other
copula dependence measures.
"
"stat.TH","  We consider a sparse multi-task regression framework for fitting a collection
of related sparse models. Representing models as nodes in a graph with edges
between related models, a framework that fuses lasso regressions with the total
variation penalty is investigated. Under a form of restricted eigenvalue
assumption, bounds on prediction and squared error are given that depend upon
the sparsity of each model and the differences between related models. This
assumption relates to the smallest eigenvalue restricted to the intersection of
two cone sets of the covariance matrix constructed from each of the agents'
covariances. We show that this assumption can be satisfied if the constructed
covariance matrix satisfies a restricted isometry property. In the case of a
grid topology high-probability bounds are given that match, up to log factors,
the no-communication setting of fitting a lasso on each model, divided by the
number of agents. A decentralised dual method that exploits a convex-concave
formulation of the penalised problem is proposed to fit the models and its
effectiveness demonstrated on simulations against the group lasso and variants.
"
"stat.TH","  This paper deals with the problem of inference associated with linear
fractional diffusion process with random effects in the drift. In particular we
are concerned with the maximum likelihood estimators (MLE) of the random effect
parameters. First of all, we estimate the Hurst parameter H from one single
subject. Second, assuming the Hurst index H is known, we derive the MLE and
examine their asymptotic behavior as the number of subjects under study becomes
large, with random effects normally distributed.
"
"stat.TH","  In this paper, we obtain fundamental $\mathcal{L}_{p}$ bounds in sequential
prediction and recursive algorithms via an entropic analysis. Both classes of
problems are examined by investigating the underlying entropic relationships of
the data and/or noises involved, and the derived lower bounds may all be
quantified in a conditional entropy characterization. We also study the
conditions to achieve the generic bounds from an innovations' viewpoint.
"
"stat.TH","  We consider the teacher-student setting of learning shallow neural networks
with quadratic activations and planted weight matrix $W^*\in\mathbb{R}^{m\times
d}$, where $m$ is the width of the hidden layer and $d\le m$ is the data
dimension. We study the optimization landscape associated with the empirical
and the population squared risk of the problem. Under the assumption the
planted weights are full-rank we obtain the following results. First, we
establish that the landscape of the empirical risk admits an ""energy barrier""
separating rank-deficient $W$ from $W^*$: if $W$ is rank deficient, then its
risk is bounded away from zero by an amount we quantify. We then couple this
result by showing that, assuming number $N$ of samples grows at least like a
polynomial function of $d$, all full-rank approximate stationary points of the
empirical risk are nearly global optimum. These two results allow us to prove
that gradient descent, when initialized below the energy barrier, approximately
minimizes the empirical risk and recovers the planted weights in
polynomial-time. Next, we show that initializing below this barrier is in fact
easily achieved when the weights are randomly generated under relatively weak
assumptions. We show that provided the network is sufficiently
overparametrized, initializing with an appropriate multiple of the identity
suffices to obtain a risk below the energy barrier. At a technical level, the
last result is a consequence of the semicircle law for the Wishart ensemble and
could be of independent interest. Finally, we study the minimizers of the
empirical risk and identify a simple necessary and sufficient geometric
condition on the training data under which any minimizer has necessarily zero
generalization error. We show that as soon as $N\ge N^*=d(d+1)/2$, randomly
generated data enjoys this geometric condition almost surely, while that ceases
to be true if $N<N^*$.
"
